캐릭터,파티,무기,성유물 이름
albedo,albedo(10) / itto(9) / gorou(8) / bennett(7) / fischl(7) / venti(7) / mona(6) / sucrose(6) / xiao(6) / xingqiu(6) / zhongli(6) / arlecchino(5) / kazuha(5) / klee(5) / navia(5) / noelle(5) / xiangling(5) / yelan(5) / cyno(4) / faruzan(4) / furina(4) / gaming(4) / hutao(4) / kokomi(4) / layla(4) / rosaria(4) / yunjin(4) / ayaka(3) / ayato(3) / beidou(3) / chiori(3) / collei(3) / diluc(3) / kukishinobu(3) / nahida(3) / ningguang(3) / qiqi(3) / razor(3) / tartaglia(3) / thoma(3) / wanderer(3) / xianyun(3) / xilonen(3) / yaemiko(3) / aloy(2) / amber(2) / barbara(2) / charlotte(2) / chevreuse(2) / chongyun(2) / citlali(2) / dahlia(2) / dori(2) / eula(2) / flins(2) / freminet(2) / ganyu(2) / heizou(2) / kaeya(2) / lisa(2) / lynette(2) / lyney(2) / mavuika(2) / mizuki(2) / neuvillette(2) / nilou(2) / sara(2) / sayu(2) / shenhe(2) / tighnari(2) / wriothesley(2) / yoimiya(2) / alhaitham(1) / baizhu(1) / candace(1) / chasca(1) / clorinde(1) / dehya(1) / diona(1) / emilie(1) / escoffier(1) / ineffa(1) / jean(1) / kaveh(1) / keqing(1) / kinich(1) / kirara(1) / lanyan(1) / lauma(1) / mika(1) / mualani(1) / ororon(1) / raiden(1) / sethos(1) / sigewinne(1) / skirk(1) / varesa(1) / xinyan(1) / yanfei(1) / yaoyao(1),urakumisugiri(6) / peakpatrolsong(5) / cinnabarspindle(4) / harbingerofdawn(4) / fluteofezpitzal(3) / harangeppakufutsu(3) / mistsplitterreforged(3) / primordialjadecutter(3) / verdict(3) / aquilafavonia(2) / elegyfortheend(2) / favoniussword(2) / favoniuswarbow(2) / lightoffoliarincision(2) / prototypearchaic(2) / sacrificialfragments(2) / thewidsith(2) / aquasimulacra(1) / athousandblazingsuns(1) / athousandfloatingdreams(1) / cashflowsupervision(1) / crescentpike(1) / crimsonmoonssemblance(1) / deathmatch(1) / dodocotales(1) / endoftheline(1) / engulfinglightning(1) / fadingtwilight(1) / festeringdesire(1) / fleuvecendreferryman(1) / fracturedhalo(1) / freedomsworn(1) / fruitoffulfillment(1) / hunterspath(1) / jadefallssplendor(1) / kagotsurubeisshin(1) / kingssquire(1) / lostprayertothesacredwinds(1) / prototypeamber(1) / prototyperancour(1) / redhornstonethresher(1) / rust(1) / serpentspine(1) / splendoroftranquilwaters(1) / thealleyflash(1) / thecatch(1) / thunderingpulse(1),huskofopulentdreams(7) / goldentroupe(6) / viridescentvenerer(4) / noblesseoblige(3) / tenacityofthemillelith(3) / archaicpetra(2) / nighttimewhispersintheechoingwoods(2) / scrolloftheheroofcindercity(2) / crimsonwitchofflames(1) / deepwoodmemories(1) / emblemofseveredfate(1) / flowerofparadiselost(1) / fragmentofharmonicwhimsy(1) / gildeddreams(1) / instructor(1) / lavawalker(1) / obsidiancodex(1) / oceanhuedclam(1) / silkenmoonsserenade(1) / theexile(1) / thunderingfury(1) / vermillionhereafter(1)
alhaitham,alhaitham(10) / nahida(9) / kukishinobu(8) / xingqiu(8) / yaemiko(7) / yaoyao(7) / zhongli(7) / furina(6) / raiden(6) / fischl(5) / nilou(5) / yelan(5) / gaming(4) / kazuha(4) / kokomi(4) / baizhu(3) / beidou(3) / bennett(3) / jean(3) / lauma(3) / lisa(3) / sucrose(3) / venti(3) / albedo(2) / amber(2) / ayaka(2) / barbara(2) / chiori(2) / chongyun(2) / collei(2) / dehya(2) / diluc(2) / diona(2) / dori(2) / escoffier(2) / ganyu(2) / itto(2) / kaveh(2) / kirara(2) / klee(2) / layla(2) / neuvillette(2) / razor(2) / sara(2) / shenhe(2) / skirk(2) / thoma(2) / xiangling(2) / xianyun(2) / xiao(2) / yanfei(2) / aloy(1) / arlecchino(1) / ayato(1) / candace(1) / charlotte(1) / chasca(1) / chevreuse(1) / citlali(1) / clorinde(1) / cyno(1) / dahlia(1) / emilie(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / gorou(1) / heizou(1) / hutao(1) / ineffa(1) / kaeya(1) / keqing(1) / kinich(1) / lanyan(1) / lynette(1) / lyney(1) / mavuika(1) / mika(1) / mizuki(1) / mona(1) / mualani(1) / navia(1) / ningguang(1) / noelle(1) / ororon(1) / qiqi(1) / rosaria(1) / sayu(1) / sethos(1) / sigewinne(1) / tighnari(1) / varesa(1) / wanderer(1) / wriothesley(1) / xilonen(1) / xinyan(1) / yoimiya(1) / yunjin(1),lightoffoliarincision(6) / favoniussword(5) / splendoroftranquilwaters(4) / keyofkhajnisut(3) / mistsplitterreforged(3) / primordialjadecutter(3) / sacrificialsword(3) / xiphosmoonlight(3) / athousandfloatingdreams(2) / favoniuslance(2) / festeringdesire(2) / fleuvecendreferryman(2) / freedomsworn(2) / kagurasverity(2) / staffofhoma(2) / theblackspoon(2) / thewidsith(2) / wanderingevenstar(2) / absolution(1) / aquasimulacra(1) / dialoguesofthedesertsages(1) / elegyfortheend(1) / favoniuswarbow(1) / finaleofthedeep(1) / hakushinring(1) / harangeppakufutsu(1) / harbingerofdawn(1) / ironsting(1) / prototypeamber(1) / sacrificialfragments(1) / thecatch(1) / thedockhandsassistant(1) / theflute(1) / urakumisugiri(1),deepwoodmemories(6) / gildeddreams(6) / goldentroupe(4) / emblemofseveredfate(3) / flowerofparadiselost(3) / marechausseehunter(3) / tenacityofthemillelith(3) / instructor(2) / scholar(2) / silkenmoonsserenade(2) / viridescentvenerer(2) / unfinishedreverie(1) / vourukashasglow(1)
aloy,aloy(10) / kazuha(7) / xiangling(7) / ayaka(6) / bennett(6) / diona(6) / ganyu(6) / mona(6) / venti(6) / chongyun(5) / jean(5) / kokomi(5) / sucrose(5) / xingqiu(5) / kaeya(4) / rosaria(4) / wanderer(4) / ayato(3) / charlotte(3) / faruzan(3) / fischl(3) / furina(3) / gaming(3) / heizou(3) / klee(3) / lynette(3) / qiqi(3) / shenhe(3) / wriothesley(3) / xianyun(3) / yelan(3) / albedo(2) / arlecchino(2) / barbara(2) / chevreuse(2) / chiori(2) / collei(2) / cyno(2) / diluc(2) / dori(2) / freminet(2) / gorou(2) / hutao(2) / itto(2) / kukishinobu(2) / layla(2) / lisa(2) / lyney(2) / nahida(2) / navia(2) / neuvillette(2) / nilou(2) / sara(2) / thoma(2) / tighnari(2) / xiao(2) / yaemiko(2) / yunjin(2) / zhongli(2) / alhaitham(1) / amber(1) / baizhu(1) / beidou(1) / candace(1) / chasca(1) / citlali(1) / clorinde(1) / dahlia(1) / dehya(1) / emilie(1) / escoffier(1) / eula(1) / flins(1) / ineffa(1) / kaveh(1) / keqing(1) / kinich(1) / kirara(1) / lanyan(1) / lauma(1) / mavuika(1) / mika(1) / mizuki(1) / mualani(1) / ningguang(1) / noelle(1) / ororon(1) / raiden(1) / razor(1) / sayu(1) / sethos(1) / sigewinne(1) / skirk(1) / tartaglia(1) / varesa(1) / xilonen(1) / xinyan(1) / yanfei(1) / yaoyao(1) / yoimiya(1),elegyfortheend(4) / engulfinglightning(4) / skywardharp(4) / thestringless(4) / aquasimulacra(3) / favoniuswarbow(3) / polarstar(3) / sacrificialbow(3) / thecatch(3) / thrillingtalesofdragonslayers(3) / thunderingpulse(3) / alleyhunter(2) / amenomakageuchi(2) / everlastingmoonglow(2) / favoniuscodex(2) / favoniussword(2) / freedomsworn(2) / ironsting(2) / lostprayertothesacredwinds(2) / mappamare(2) / mistsplitterreforged(2) / prototypecrescent(2) / rust(2) / sacrificialfragments(2) / sacrificialsword(2) / serpentspine(2) / skywardatlas(2) / skywardblade(2) / theviridescenthunt(2) / thewidsith(2) / amosbow(1) / aquilafavonia(1) / athousandblazingsuns(1) / athousandfloatingdreams(1) / crescentpike(1) / endoftheline(1) / fadingtwilight(1) / harangeppakufutsu(1) / hunterspath(1) / jadefallssplendor(1) / kagotsurubeisshin(1) / kingssquire(1) / prototypearchaic(1) / prototyperancour(1) / verdict(1) / wolfsgravestone(1),blizzardstrayer(6) / emblemofseveredfate(6) / noblesseoblige(6) / gildeddreams(3) / tenacityofthemillelith(3) / viridescentvenerer(3) / crimsonwitchofflames(2) / maidenbeloved(2) / lavawalker(1) / marechausseehunter(1) / obsidiancodex(1) / scrolloftheheroofcindercity(1) / wandererstroupe(1)
amber,amber(10) / bennett(8) / xingqiu(7) / hutao(6) / kazuha(6) / zhongli(6) / diona(5) / ganyu(5) / sucrose(5) / xiangling(5) / yelan(5) / ayaka(4) / fischl(4) / raiden(4) / rosaria(4) / wanderer(4) / yoimiya(4) / citlali(3) / diluc(3) / furina(3) / gaming(3) / kokomi(3) / layla(3) / mavuika(3) / mona(3) / venti(3) / albedo(2) / ayato(2) / barbara(2) / chasca(2) / chongyun(2) / collei(2) / dahlia(2) / dehya(2) / heizou(2) / jean(2) / kirara(2) / klee(2) / lanyan(2) / lynette(2) / lyney(2) / nahida(2) / nilou(2) / sayu(2) / xilonen(2) / yaoyao(2) / alhaitham(1) / aloy(1) / arlecchino(1) / baizhu(1) / beidou(1) / candace(1) / charlotte(1) / chevreuse(1) / chiori(1) / clorinde(1) / cyno(1) / dori(1) / emilie(1) / escoffier(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / gorou(1) / ineffa(1) / itto(1) / kaeya(1) / kaveh(1) / keqing(1) / kinich(1) / kukishinobu(1) / lauma(1) / lisa(1) / mika(1) / mizuki(1) / mualani(1) / navia(1) / neuvillette(1) / ningguang(1) / noelle(1) / ororon(1) / qiqi(1) / razor(1) / sara(1) / sethos(1) / shenhe(1) / sigewinne(1) / skirk(1) / thoma(1) / tighnari(1) / varesa(1) / wriothesley(1) / xianyun(1) / xiao(1) / xinyan(1) / yaemiko(1) / yanfei(1) / yunjin(1),elegyfortheend(5) / skywardharp(5) / hamayumi(4) / thestringless(4) / aquasimulacra(3) / ibispiercer(3) / prototypecrescent(3) / sacrificialsword(3) / thunderingpulse(3) / amenomakageuchi(2) / blacktassel(2) / engulfinglightning(2) / favoniussword(2) / favoniuswarbow(2) / freedomsworn(2) / ironsting(2) / mistsplitterreforged(2) / polarstar(2) / rust(2) / sharpshootersoath(2) / skywardblade(2) / staffofhoma(2) / thecatch(2) / amosbow(1) / blackcliffwarbow(1) / cloudforged(1) / fadingtwilight(1) / hunterspath(1) / messenger(1) / mouunsmoon(1) / ravenbow(1) / sacrificialbow(1) / sacrificialfragments(1) / slingshot(1) / windblumeode(1),noblesseoblige(6) / crimsonwitchofflames(4) / emblemofseveredfate(3) / shimenawasreminiscence(3) / viridescentvenerer(3) / blizzardstrayer(2) / instructor(2) / tenacityofthemillelith(2) / thunderingfury(2) / wandererstroupe(2) / braveheart(1) / desertpavilionchronicle(1) / flowerofparadiselost(1) / gildeddreams(1) / marechausseehunter(1) / martialartist(1) / scrolloftheheroofcindercity(1)
arlecchino,arlecchino(10) / bennett(9) / chevreuse(9) / fischl(9) / kazuha(8) / yelan(8) / xingqiu(7) / beidou(6) / xiangling(6) / zhongli(6) / chiori(5) / gaming(5) / sucrose(5) / furina(4) / layla(4) / thoma(4) / xilonen(4) / albedo(3) / charlotte(3) / kaeya(3) / yaemiko(3) / yanfei(3) / yunjin(3) / amber(2) / candace(2) / citlali(2) / collei(2) / dehya(2) / diona(2) / emilie(2) / hutao(2) / jean(2) / keqing(2) / kirara(2) / kokomi(2) / lynette(2) / mavuika(2) / neuvillette(2) / nilou(2) / ororon(2) / raiden(2) / rosaria(2) / sara(2) / sethos(2) / shenhe(2) / venti(2) / xianyun(2) / xinyan(2) / alhaitham(1) / aloy(1) / ayaka(1) / ayato(1) / baizhu(1) / barbara(1) / chasca(1) / chongyun(1) / clorinde(1) / cyno(1) / dahlia(1) / diluc(1) / dori(1) / escoffier(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / ganyu(1) / gorou(1) / heizou(1) / ineffa(1) / itto(1) / kaveh(1) / kinich(1) / klee(1) / kukishinobu(1) / lanyan(1) / lauma(1) / lisa(1) / lyney(1) / mika(1) / mizuki(1) / mona(1) / mualani(1) / nahida(1) / navia(1) / ningguang(1) / noelle(1) / qiqi(1) / razor(1) / sayu(1) / sigewinne(1) / skirk(1) / tighnari(1) / varesa(1) / wanderer(1) / wriothesley(1) / xiao(1) / yaoyao(1) / yoimiya(1),deathmatch(4) / crimsonmoonssemblance(3) / primordialjadewingedspear(3) / staffofhoma(3) / thrillingtalesofdragonslayers(3) / elegyfortheend(2) / favoniuslance(2) / favoniussword(2) / freedomsworn(2) / staffofthescarletsands(2) / aquasimulacra(1) / aquilafavonia(1) / athousandblazingsuns(1) / balladofthefjords(1) / blackcliffpole(1) / blacktassel(1) / calamityqueller(1) / engulfinglightning(1) / favoniuswarbow(1) / keyofkhajnisut(1) / mistsplitterreforged(1) / peakpatrolsong(1) / prototypeamber(1) / rust(1) / sacrificialbow(1) / serpentspine(1) / skywardblade(1) / skywardharp(1) / splendoroftranquilwaters(1) / thealleyflash(1) / urakumisugiri(1) / vortexvanquisher(1) / whitetassel(1) / xiphosmoonlight(1),fragmentofharmonicwhimsy(5) / viridescentvenerer(4) / instructor(3) / scrolloftheheroofcindercity(3) / tenacityofthemillelith(3) / archaicpetra(2) / crimsonwitchofflames(2) / emblemofseveredfate(2) / gildeddreams(2) / goldentroupe(2) / noblesseoblige(2) / desertpavilionchronicle(1) / echoesofanoffering(1) / gladiatorsfinale(1) / marechausseehunter(1) / obsidiancodex(1) / retracingbolide(1) / songofdayspast(1) / unfinishedreverie(1)
ayaka,ayaka(10) / kazuha(8) / diona(7) / ganyu(7) / mona(7) / shenhe(7) / xingqiu(7) / kokomi(6) / ayato(5) / bennett(5) / rosaria(5) / venti(5) / gaming(4) / barbara(3) / dehya(3) / kaeya(3) / sucrose(3) / amber(2) / charlotte(2) / chiori(2) / chongyun(2) / citlali(2) / escoffier(2) / furina(2) / keqing(2) / kukishinobu(2) / layla(2) / lynette(2) / mualani(2) / raiden(2) / skirk(2) / xiangling(2) / xilonen(2) / yelan(2) / albedo(1) / alhaitham(1) / aloy(1) / arlecchino(1) / baizhu(1) / beidou(1) / candace(1) / chasca(1) / chevreuse(1) / clorinde(1) / collei(1) / cyno(1) / dahlia(1) / diluc(1) / dori(1) / emilie(1) / eula(1) / faruzan(1) / fischl(1) / flins(1) / freminet(1) / gorou(1) / heizou(1) / hutao(1) / ineffa(1) / itto(1) / jean(1) / kaveh(1) / kinich(1) / kirara(1) / klee(1) / lanyan(1) / lauma(1) / lisa(1) / lyney(1) / mavuika(1) / mika(1) / mizuki(1) / nahida(1) / navia(1) / neuvillette(1) / nilou(1) / ningguang(1) / noelle(1) / ororon(1) / qiqi(1) / razor(1) / sara(1) / sayu(1) / sethos(1) / sigewinne(1) / thoma(1) / tighnari(1) / varesa(1) / wanderer(1) / wriothesley(1) / xianyun(1) / xiao(1) / xinyan(1) / yaemiko(1) / yanfei(1) / yaoyao(1) / yoimiya(1) / yunjin(1) / zhongli(1),calamityqueller(4) / mistsplitterreforged(4) / sacrificialbow(4) / thrillingtalesofdragonslayers(4) / amenomakageuchi(3) / favoniussword(3) / freedomsworn(3) / aquilafavonia(2) / elegyfortheend(2) / everlastingmoonglow(2) / favoniuscodex(2) / favoniusgreatsword(2) / favoniuslance(2) / favoniuswarbow(2) / hamayumi(2) / harangeppakufutsu(2) / ironsting(2) / rust(2) / skywardatlas(2) / skywardspine(2) / theblackspoon(2) / absolution(1) / amosbow(1) / athousandfloatingdreams(1) / azurelight(1) / blacktassel(1) / finaleofthedeep(1) / lightoffoliarincision(1) / primordialjadecutter(1) / prototypeamber(1) / sacrificialsword(1) / splendoroftranquilwaters(1) / staffofthescarletsands(1) / urakumisugiri(1) / wavebreakersfin(1),blizzardstrayer(7) / noblesseoblige(5) / viridescentvenerer(5) / tenacityofthemillelith(4) / maidenbeloved(3) / echoesofanoffering(2) / crimsonwitchofflames(1) / emblemofseveredfate(1) / finaleofthedeepgalleries(1) / gildeddreams(1) / goldentroupe(1) / heartofdepth(1) / marechausseehunter(1) / scholar(1)
ayato,ayato(10) / zhongli(8) / ganyu(7) / kazuha(7) / kokomi(7) / yunjin(7) / ayaka(6) / beidou(6) / diona(6) / fischl(6) / jean(6) / kukishinobu(6) / nahida(6) / furina(5) / sucrose(5) / thoma(5) / venti(5) / xiangling(5) / xingqiu(5) / yelan(5) / bennett(4) / gaming(4) / hutao(4) / kaeya(4) / raiden(4) / sayu(4) / yoimiya(4) / albedo(3) / amber(3) / baizhu(3) / candace(3) / charlotte(3) / chiori(3) / collei(3) / emilie(3) / kirara(3) / layla(3) / mika(3) / mona(3) / nilou(3) / rosaria(3) / shenhe(3) / xianyun(3) / xilonen(3) / yaemiko(3) / yaoyao(3) / alhaitham(2) / barbara(2) / chongyun(2) / citlali(2) / cyno(2) / dahlia(2) / dehya(2) / dori(2) / escoffier(2) / heizou(2) / ineffa(2) / lanyan(2) / lauma(2) / lisa(2) / lynette(2) / mavuika(2) / neuvillette(2) / noelle(2) / ororon(2) / razor(2) / sara(2) / skirk(2) / wanderer(2) / aloy(1) / arlecchino(1) / chasca(1) / chevreuse(1) / clorinde(1) / diluc(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / gorou(1) / itto(1) / kaveh(1) / keqing(1) / kinich(1) / klee(1) / lyney(1) / mizuki(1) / mualani(1) / navia(1) / ningguang(1) / qiqi(1) / sethos(1) / sigewinne(1) / tartaglia(1) / tighnari(1) / varesa(1) / wriothesley(1) / xiao(1) / xinyan(1) / yanfei(1),harangeppakufutsu(5) / mistsplitterreforged(5) / theblackspoon(5) / amenomakageuchi(4) / favoniussword(4) / freedomsworn(4) / skywardblade(4) / splendoroftranquilwaters(4) / thrillingtalesofdragonslayers(4) / elegyfortheend(3) / favoniuslance(3) / favoniuswarbow(3) / fleuvecendreferryman(3) / ironsting(3) / primordialjadecutter(3) / prototypeamber(3) / sacrificialbow(3) / summitshaper(3) / absolution(2) / aquasimulacra(2) / athousandfloatingdreams(2) / blacktassel(2) / deathmatch(2) / everlastingmoonglow(2) / finaleofthedeep(2) / hamayumi(2) / harbingerofdawn(2) / kagotsurubeisshin(2) / kitaincrossspear(2) / lightoffoliarincision(2) / rust(2) / sacrificialfragments(2) / serpentspine(2) / skywardharp(2) / skywardpride(2) / solarpearl(2) / staffofhoma(2) / thestringless(2) / thunderingpulse(2) / urakumisugiri(2) / aquilafavonia(1) / azurelight(1) / blackclifflongsword(1) / calamityofeshu(1) / dragonsbane(1) / favoniuscodex(1) / hakushinring(1) / hunterspath(1) / sacrificialgreatsword(1) / sapwoodblade(1) / thecatch(1) / theflute(1) / xiphosmoonlight(1),viridescentvenerer(6) / blizzardstrayer(5) / emblemofseveredfate(5) / noblesseoblige(5) / tenacityofthemillelith(5) / deepwoodmemories(4) / gildeddreams(4) / thunderingfury(4) / crimsonwitchofflames(3) / echoesofanoffering(3) / flowerofparadiselost(3) / heartofdepth(3) / archaicpetra(2) / goldentroupe(2) / huskofopulentdreams(2) / maidenbeloved(2) / marechausseehunter(2) / nymphsdream(2) / scrolloftheheroofcindercity(2) / unfinishedreverie(2) / desertpavilionchronicle(1) / gladiatorsfinale(1) / shimenawasreminiscence(1)
baizhu,baizhu(10) / alhaitham(9) / nilou(9) / cyno(8) / fischl(8) / nahida(8) / xingqiu(8) / yaemiko(8) / yelan(8) / ayato(7) / raiden(7) / amber(6) / kaveh(6) / beidou(5) / emilie(5) / furina(5) / kukishinobu(5) / gaming(4) / keqing(4) / thoma(4) / tighnari(4) / candace(3) / collei(3) / dehya(3) / heizou(3) / ineffa(3) / kazuha(3) / kinich(3) / kokomi(3) / lauma(3) / mavuika(3) / neuvillette(3) / sara(3) / skirk(3) / sucrose(3) / xiangling(3) / yaoyao(3) / zhongli(3) / albedo(2) / aloy(2) / arlecchino(2) / ayaka(2) / barbara(2) / bennett(2) / charlotte(2) / chasca(2) / chevreuse(2) / chiori(2) / chongyun(2) / citlali(2) / clorinde(2) / dahlia(2) / diluc(2) / diona(2) / dori(2) / escoffier(2) / eula(2) / faruzan(2) / flins(2) / freminet(2) / ganyu(2) / gorou(2) / hutao(2) / itto(2) / jean(2) / kaeya(2) / kirara(2) / klee(2) / lanyan(2) / layla(2) / lisa(2) / lynette(2) / lyney(2) / mika(2) / mizuki(2) / mona(2) / mualani(2) / navia(2) / ningguang(2) / noelle(2) / ororon(2) / qiqi(2) / razor(2) / rosaria(2) / sayu(2) / sethos(2) / shenhe(2) / sigewinne(2) / varesa(2) / venti(2) / wanderer(2) / wriothesley(2) / xianyun(2) / xiao(2) / xilonen(2) / xinyan(2) / yanfei(2) / yoimiya(2) / yunjin(2) / tartaglia(1),prototypeamber(6) / athousandfloatingdreams(4) / favoniuscodex(4) / jadefallssplendor(3) / lightoffoliarincision(3) / sacrificialsword(3) / staffofthescarletsands(3) / thrillingtalesofdragonslayers(3) / wanderingevenstar(3) / aquasimulacra(2) / deathmatch(2) / dragonsbane(2) / favoniusgreatsword(2) / favoniussword(2) / favoniuswarbow(2) / harbingerofdawn(2) / kagurasverity(2) / keyofkhajnisut(2) / primordialjadecutter(2) / serpentspine(2) / skywardpride(2) / splendoroftranquilwaters(2) / theblackspoon(2) / thestringless(2) / thewidsith(2) / elegyfortheend(1) / engulfinglightning(1) / everlastingmoonglow(1) / freedomsworn(1) / hakushinring(1) / harangeppakufutsu(1) / rust(1) / skywardharp(1) / thedockhandsassistant(1) / thunderingpulse(1),deepwoodmemories(8) / oceanhuedclam(6) / emblemofseveredfate(3) / flowerofparadiselost(3) / gildeddreams(3) / noblesseoblige(3) / thunderingfury(3) / goldentroupe(2) / tenacityofthemillelith(2) / crimsonwitchofflames(1) / echoesofanoffering(1) / instructor(1) / maidenbeloved(1) / songofdayspast(1) / viridescentvenerer(1) / vourukashasglow(1)
barbara,barbara(10) / amber(8) / beidou(6) / sucrose(6) / xiangling(6) / ayaka(4) / gaming(4) / hutao(4) / klee(4) / kokomi(4) / razor(4) / venti(4) / yelan(4) / alhaitham(3) / bennett(3) / fischl(3) / ganyu(3) / thoma(3) / wanderer(3) / albedo(2) / diluc(2) / jean(2) / kaeya(2) / kazuha(2) / mona(2) / nilou(2) / raiden(2) / shenhe(2) / xingqiu(2) / zhongli(2) / aloy(1) / arlecchino(1) / ayato(1) / baizhu(1) / candace(1) / charlotte(1) / chasca(1) / chevreuse(1) / chiori(1) / chongyun(1) / citlali(1) / clorinde(1) / collei(1) / cyno(1) / dahlia(1) / dehya(1) / diona(1) / dori(1) / emilie(1) / escoffier(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / furina(1) / gorou(1) / heizou(1) / ineffa(1) / itto(1) / kaveh(1) / keqing(1) / kinich(1) / kirara(1) / kukishinobu(1) / lanyan(1) / lauma(1) / layla(1) / lisa(1) / lynette(1) / lyney(1) / mavuika(1) / mika(1) / mizuki(1) / mualani(1) / nahida(1) / navia(1) / neuvillette(1) / ningguang(1) / noelle(1) / ororon(1) / qiqi(1) / rosaria(1) / sara(1) / sayu(1) / sethos(1) / sigewinne(1) / skirk(1) / tighnari(1) / varesa(1) / wriothesley(1) / xianyun(1) / xiao(1) / xilonen(1) / xinyan(1) / yaemiko(1) / yanfei(1) / yaoyao(1) / yoimiya(1) / yunjin(1),prototypeamber(6) / everlastingmoonglow(5) / thrillingtalesofdragonslayers(5) / elegyfortheend(3) / sacrificialfragments(3) / skywardatlas(3) / thewidsith(3) / amenomakageuchi(2) / aquasimulacra(2) / deathmatch(2) / engulfinglightning(2) / favoniuscodex(2) / favoniuswarbow(2) / harbingerofdawn(2) / kitaincrossspear(2) / lightoffoliarincision(2) / lostprayertothesacredwinds(2) / mistsplitterreforged(2) / prototypearchaic(2) / prototypecrescent(2) / rust(2) / serpentspine(2) / skywardpride(2) / staffofhoma(2) / thecatch(2) / amosbow(1) / aquilafavonia(1) / astralvulturescrimsonplumage(1) / athousandfloatingdreams(1) / cashflowsupervision(1) / freedomsworn(1) / harangeppakufutsu(1) / jadefallssplendor(1) / keyofkhajnisut(1) / magicguide(1) / splendoroftranquilwaters(1) / staffofthescarletsands(1) / tomeoftheeternalflow(1) / wanderingevenstar(1) / wineandsong(1) / wolfsgravestone(1),oceanhuedclam(7) / noblesseoblige(4) / viridescentvenerer(4) / crimsonwitchofflames(3) / deepwoodmemories(3) / emblemofseveredfate(3) / tenacityofthemillelith(3) / blizzardstrayer(2) / flowerofparadiselost(2) / gildeddreams(2) / instructor(2) / maidenbeloved(2) / echoesofanoffering(1) / goldentroupe(1) / heartofdepth(1) / obsidiancodex(1) / scrolloftheheroofcindercity(1) / vourukashasglow(1) / wandererstroupe(1)
beidou,beidou(10) / eula(8) / fischl(8) / xingqiu(8) / bennett(7) / diona(7) / raiden(7) / yoimiya(7) / chongyun(6) / gaming(6) / jean(6) / kaeya(6) / mona(6) / sara(6) / sucrose(6) / zhongli(6) / barbara(5) / kazuha(5) / venti(5) / yaemiko(5) / ayato(4) / candace(4) / cyno(4) / noelle(4) / qiqi(4) / xinyan(4) / yanfei(4) / albedo(3) / alhaitham(3) / aloy(3) / amber(3) / arlecchino(3) / ayaka(3) / baizhu(3) / charlotte(3) / chevreuse(3) / chiori(3) / clorinde(3) / collei(3) / dehya(3) / diluc(3) / dori(3) / emilie(3) / faruzan(3) / freminet(3) / furina(3) / ganyu(3) / gorou(3) / heizou(3) / hutao(3) / itto(3) / kaveh(3) / keqing(3) / kinich(3) / kirara(3) / klee(3) / kokomi(3) / kukishinobu(3) / layla(3) / lisa(3) / lynette(3) / lyney(3) / mika(3) / mualani(3) / nahida(3) / navia(3) / neuvillette(3) / nilou(3) / ningguang(3) / razor(3) / rosaria(3) / sayu(3) / sethos(3) / shenhe(3) / sigewinne(3) / thoma(3) / tighnari(3) / wanderer(3) / wriothesley(3) / xiangling(3) / xianyun(3) / xiao(3) / xilonen(3) / yaoyao(3) / yelan(3) / yunjin(3) / chasca(2) / citlali(2) / dahlia(2) / escoffier(2) / flins(2) / ineffa(2) / lanyan(2) / lauma(2) / mavuika(2) / mizuki(2) / ororon(2) / skirk(2) / tartaglia(2) / varesa(2),rust(4) / serpentspine(4) / skywardpride(4) / rainslasher(3) / blacktassel(2) / engulfinglightning(2) / favoniussword(2) / sacrificialsword(2) / skywardatlas(2) / skywardblade(2) / skywardharp(2) / songofbrokenpines(2) / staffofhoma(2) / thecatch(2) / thestringless(2) / thewidsith(2) / thrillingtalesofdragonslayers(2) / thunderingpulse(2) / wolfsgravestone(2) / absolution(1) / akuoumaru(1) / athousandfloatingdreams(1) / dragonsbane(1) / elegyfortheend(1) / forestregalia(1) / harangeppakufutsu(1) / lithicblade(1) / luxurioussealord(1) / makhairaaquamarine(1) / peakpatrolsong(1) / prototypearchaic(1) / sacrificialgreatsword(1) / theunforged(1),emblemofseveredfate(5) / noblesseoblige(5) / thunderingfury(5) / blizzardstrayer(3) / paleflame(3) / tenacityofthemillelith(3) / viridescentvenerer(3) / gildeddreams(2) / shimenawasreminiscence(2) / deepwoodmemories(1) / echoesofanoffering(1) / fragmentofharmonicwhimsy(1) / gladiatorsfinale(1) / heartofdepth(1) / oceanhuedclam(1) / retracingbolide(1) / scrolloftheheroofcindercity(1) / thundersoother(1)
