캐릭터,파티,무기,성유물 이름
albedo,albedo(10) / gorou(8) / bennett(7) / fischl(7) / itto(6) / navia(6) / venti(6) / xiao(6) / xingqiu(6) / zhongli(6) / arlecchino(5) / furina(5) / klee(5) / mona(5) / noelle(5) / sucrose(5) / xiangling(5) / yelan(5) / chiori(4) / cyno(4) / faruzan(4) / gaming(4) / xianyun(4) / xilonen(4) / yunjin(4) / beidou(3) / collei(3) / diluc(3) / hutao(3) / kukishinobu(3) / layla(3) / ningguang(3) / qiqi(3) / razor(3) / rosaria(3) / aloy(2) / amber(2) / ayaka(2) / ayato(2) / barbara(2) / charlotte(2) / chevreuse(2) / chongyun(2) / citlali(2) / dahlia(2) / dori(2) / eula(2) / flins(2) / freminet(2) / ganyu(2) / heizou(2) / kaeya(2) / kokomi(2) / lisa(2) / lynette(2) / lyney(2) / mavuika(2) / nahida(2) / neuvillette(2) / nilou(2) / sara(2) / sayu(2) / shenhe(2) / tartaglia(2) / thoma(2) / tighnari(2) / wanderer(2) / wriothesley(2) / yaemiko(2) / alhaitham(1) / baizhu(1) / candace(1) / chasca(1) / clorinde(1) / dehya(1) / diona(1) / emilie(1) / escoffier(1) / ineffa(1) / jean(1) / kaveh(1) / kazuha(1) / keqing(1) / kinich(1) / kirara(1) / lanyan(1) / lauma(1) / mika(1) / mizuki(1) / mualani(1) / ororon(1) / raiden(1) / sethos(1) / sigewinne(1) / skirk(1) / varesa(1) / xinyan(1) / yanfei(1) / yaoyao(1) / yoimiya(1),urakumisugiri(7) / peakpatrolsong(6) / cinnabarspindle(5) / harbingerofdawn(4) / primordialjadecutter(4) / verdict(3) / aquilafavonia(2) / favoniussword(2) / favoniuswarbow(2) / harangeppakufutsu(2) / lightoffoliarincision(2) / mistsplitterreforged(2) / prototypearchaic(2) / sacrificialfragments(2) / thewidsith(2) / aquasimulacra(1) / athousandblazingsuns(1) / athousandfloatingdreams(1) / cashflowsupervision(1) / crescentpike(1) / crimsonmoonssemblance(1) / deathmatch(1) / dodocotales(1) / elegyfortheend(1) / endoftheline(1) / engulfinglightning(1) / fadingtwilight(1) / fleuvecendreferryman(1) / fluteofezpitzal(1) / fracturedhalo(1) / fruitoffulfillment(1) / hunterspath(1) / jadefallssplendor(1) / kagotsurubeisshin(1) / kingssquire(1) / prototypeamber(1) / prototyperancour(1) / redhornstonethresher(1) / rust(1) / serpentspine(1) / splendoroftranquilwaters(1) / thealleyflash(1) / thecatch(1) / thunderingpulse(1),goldentroupe(6) / huskofopulentdreams(6) / viridescentvenerer(3) / noblesseoblige(2) / scrolloftheheroofcindercity(2) / archaicpetra(1) / deepwoodmemories(1) / flowerofparadiselost(1) / fragmentofharmonicwhimsy(1) / gildeddreams(1) / lavawalker(1) / nighttimewhispersintheechoingwoods(1) / obsidiancodex(1) / silkenmoonsserenade(1) / tenacityofthemillelith(1) / theexile(1) / thunderingfury(1)
alhaitham,alhaitham(10) / xingqiu(8) / nahida(7) / yaoyao(7) / furina(6) / kukishinobu(6) / nilou(6) / yaemiko(6) / zhongli(6) / fischl(5) / baizhu(4) / lauma(4) / lisa(4) / raiden(4) / sucrose(4) / yelan(4) / barbara(3) / beidou(3) / dehya(3) / dori(3) / gaming(3) / kaveh(3) / kirara(3) / thoma(3) / venti(3) / albedo(2) / amber(2) / bennett(2) / candace(2) / chiori(2) / citlali(2) / collei(2) / diona(2) / emilie(2) / escoffier(2) / ineffa(2) / jean(2) / keqing(2) / kinich(2) / kokomi(2) / layla(2) / mona(2) / tighnari(2) / xiangling(2) / xianyun(2) / yunjin(2) / aloy(1) / arlecchino(1) / ayaka(1) / ayato(1) / charlotte(1) / chasca(1) / chevreuse(1) / chongyun(1) / clorinde(1) / cyno(1) / dahlia(1) / diluc(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / ganyu(1) / gorou(1) / heizou(1) / hutao(1) / itto(1) / kaeya(1) / kazuha(1) / klee(1) / lanyan(1) / lynette(1) / lyney(1) / mavuika(1) / mika(1) / mualani(1) / navia(1) / neuvillette(1) / ningguang(1) / noelle(1) / ororon(1) / qiqi(1) / razor(1) / rosaria(1) / sara(1) / sayu(1) / sethos(1) / shenhe(1) / sigewinne(1) / skirk(1) / varesa(1) / wanderer(1) / wriothesley(1) / xiao(1) / xilonen(1) / xinyan(1) / yanfei(1) / yoimiya(1),lightoffoliarincision(6) / favoniussword(4) / splendoroftranquilwaters(4) / keyofkhajnisut(3) / mistsplitterreforged(3) / primordialjadecutter(3) / sacrificialsword(3) / athousandfloatingdreams(2) / favoniuslance(2) / festeringdesire(2) / fleuvecendreferryman(2) / freedomsworn(2) / harangeppakufutsu(2) / kagurasverity(2) / staffofhoma(2) / theblackspoon(2) / thewidsith(2) / wanderingevenstar(2) / xiphosmoonlight(2) / absolution(1) / aquasimulacra(1) / dialoguesofthedesertsages(1) / elegyfortheend(1) / favoniuswarbow(1) / finaleofthedeep(1) / hakushinring(1) / harbingerofdawn(1) / ironsting(1) / prototypeamber(1) / sacrificialfragments(1) / thedockhandsassistant(1) / urakumisugiri(1),deepwoodmemories(7) / gildeddreams(7) / flowerofparadiselost(4) / goldentroupe(4) / marechausseehunter(4) / emblemofseveredfate(3) / tenacityofthemillelith(3) / instructor(2) / silkenmoonsserenade(2) / viridescentvenerer(2) / scholar(1) / unfinishedreverie(1) / vourukashasglow(1)
aloy,aloy(10) / xiangling(7) / bennett(6) / diona(6) / ganyu(6) / jean(6) / chongyun(5) / kaeya(5) / mona(5) / sucrose(5) / venti(5) / xingqiu(5) / rosaria(4) / ayaka(3) / charlotte(3) / furina(3) / kazuha(3) / klee(3) / kokomi(3) / shenhe(3) / wanderer(3) / yelan(3) / barbara(2) / citlali(2) / escoffier(2) / faruzan(2) / fischl(2) / gaming(2) / keqing(2) / layla(2) / lisa(2) / lynette(2) / mika(2) / qiqi(2) / skirk(2) / wriothesley(2) / xianyun(2) / albedo(1) / alhaitham(1) / amber(1) / arlecchino(1) / ayato(1) / baizhu(1) / beidou(1) / candace(1) / chasca(1) / chevreuse(1) / chiori(1) / clorinde(1) / collei(1) / cyno(1) / dahlia(1) / dehya(1) / diluc(1) / dori(1) / emilie(1) / eula(1) / flins(1) / freminet(1) / gorou(1) / heizou(1) / hutao(1) / ineffa(1) / itto(1) / kaveh(1) / kinich(1) / kirara(1) / kukishinobu(1) / lanyan(1) / lauma(1) / lyney(1) / mavuika(1) / mualani(1) / nahida(1) / navia(1) / neuvillette(1) / nilou(1) / ningguang(1) / noelle(1) / ororon(1) / raiden(1) / razor(1) / sara(1) / sayu(1) / sethos(1) / sigewinne(1) / thoma(1) / tighnari(1) / varesa(1) / xiao(1) / xilonen(1) / xinyan(1) / yaemiko(1) / yanfei(1) / yaoyao(1) / yoimiya(1) / yunjin(1) / zhongli(1),skywardharp(5) / thestringless(5) / elegyfortheend(4) / favoniuswarbow(4) / polarstar(4) / sacrificialbow(4) / aquasimulacra(3) / engulfinglightning(3) / prototypecrescent(3) / thrillingtalesofdragonslayers(3) / thunderingpulse(3) / alleyhunter(2) / amenomakageuchi(2) / everlastingmoonglow(2) / favoniuscodex(2) / favoniussword(2) / freedomsworn(2) / ironsting(2) / mappamare(2) / mistsplitterreforged(2) / rust(2) / sacrificialfragments(2) / sacrificialsword(2) / serpentspine(2) / skywardatlas(2) / skywardblade(2) / thecatch(2) / theviridescenthunt(2) / thewidsith(2) / amosbow(1) / aquilafavonia(1) / athousandblazingsuns(1) / hunterspath(1) / lostprayertothesacredwinds(1) / wolfsgravestone(1),blizzardstrayer(7) / noblesseoblige(7) / emblemofseveredfate(6) / gildeddreams(3) / tenacityofthemillelith(3) / viridescentvenerer(3) / crimsonwitchofflames(2) / maidenbeloved(2) / marechausseehunter(2) / lavawalker(1) / obsidiancodex(1) / wandererstroupe(1)
amber,amber(10) / bennett(7) / gaming(6) / raiden(6) / xingqiu(6) / zhongli(5) / barbara(4) / wanderer(4) / xiangling(4) / yelan(4) / fischl(3) / ganyu(3) / hutao(3) / mona(3) / sucrose(3) / venti(3) / yoimiya(3) / ayaka(2) / chongyun(2) / citlali(2) / collei(2) / diluc(2) / diona(2) / furina(2) / jean(2) / kaeya(2) / kazuha(2) / keqing(2) / kirara(2) / lanyan(2) / layla(2) / lynette(2) / nahida(2) / nilou(2) / ningguang(2) / rosaria(2) / sayu(2) / xilonen(2) / yanfei(2) / yaoyao(2) / albedo(1) / alhaitham(1) / aloy(1) / arlecchino(1) / ayato(1) / baizhu(1) / beidou(1) / candace(1) / charlotte(1) / chasca(1) / chevreuse(1) / chiori(1) / clorinde(1) / cyno(1) / dahlia(1) / dehya(1) / dori(1) / emilie(1) / escoffier(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / gorou(1) / heizou(1) / ineffa(1) / itto(1) / kaveh(1) / kinich(1) / klee(1) / kokomi(1) / kukishinobu(1) / lauma(1) / lisa(1) / lyney(1) / mavuika(1) / mika(1) / mualani(1) / navia(1) / neuvillette(1) / noelle(1) / ororon(1) / qiqi(1) / razor(1) / sara(1) / sethos(1) / shenhe(1) / sigewinne(1) / skirk(1) / thoma(1) / tighnari(1) / varesa(1) / wriothesley(1) / xianyun(1) / xiao(1) / xinyan(1) / yaemiko(1) / yunjin(1),thestringless(6) / skywardharp(5) / elegyfortheend(4) / favoniuswarbow(3) / polarstar(3) / sacrificialsword(3) / thunderingpulse(3) / amenomakageuchi(2) / blackcliffwarbow(2) / blacktassel(2) / engulfinglightning(2) / favoniussword(2) / freedomsworn(2) / ironsting(2) / mistsplitterreforged(2) / prototypecrescent(2) / rust(2) / skywardblade(2) / staffofhoma(2) / thecatch(2) / amosbow(1) / aquasimulacra(1) / cloudforged(1) / fadingtwilight(1) / hamayumi(1) / hunterspath(1) / ibispiercer(1) / messenger(1) / mouunsmoon(1) / ravenbow(1) / sacrificialfragments(1) / sharpshootersoath(1) / slingshot(1) / windblumeode(1),noblesseoblige(7) / crimsonwitchofflames(4) / emblemofseveredfate(4) / viridescentvenerer(3) / wandererstroupe(3) / blizzardstrayer(2) / tenacityofthemillelith(2) / thunderingfury(2) / desertpavilionchronicle(1) / flowerofparadiselost(1) / gildeddreams(1) / instructor(1) / lavawalker(1) / marechausseehunter(1) / martialartist(1) / scrolloftheheroofcindercity(1) / shimenawasreminiscence(1)
arlecchino,arlecchino(10) / fischl(8) / yelan(8) / bennett(7) / chevreuse(7) / xiangling(7) / xingqiu(7) / zhongli(7) / gaming(6) / sucrose(6) / chiori(5) / beidou(4) / furina(4) / xianyun(4) / xilonen(4) / albedo(3) / charlotte(3) / citlali(3) / dehya(3) / emilie(3) / kazuha(3) / layla(3) / mavuika(3) / rosaria(3) / thoma(3) / xinyan(3) / yanfei(3) / yunjin(3) / amber(2) / candace(2) / diluc(2) / diona(2) / jean(2) / kaeya(2) / keqing(2) / kirara(2) / klee(2) / lynette(2) / nahida(2) / neuvillette(2) / nilou(2) / ororon(2) / raiden(2) / shenhe(2) / venti(2) / wanderer(2) / yaemiko(2) / yoimiya(2) / alhaitham(1) / aloy(1) / ayaka(1) / ayato(1) / baizhu(1) / barbara(1) / chasca(1) / chongyun(1) / clorinde(1) / collei(1) / cyno(1) / dahlia(1) / dori(1) / escoffier(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / ganyu(1) / gorou(1) / heizou(1) / hutao(1) / ineffa(1) / itto(1) / kaveh(1) / kinich(1) / kokomi(1) / kukishinobu(1) / lanyan(1) / lauma(1) / lisa(1) / lyney(1) / mika(1) / mona(1) / mualani(1) / navia(1) / ningguang(1) / noelle(1) / qiqi(1) / razor(1) / sara(1) / sayu(1) / sethos(1) / sigewinne(1) / skirk(1) / tighnari(1) / varesa(1) / wriothesley(1) / xiao(1) / yaoyao(1),crimsonmoonssemblance(5) / deathmatch(5) / primordialjadewingedspear(4) / staffofhoma(4) / staffofthescarletsands(3) / thrillingtalesofdragonslayers(3) / whitetassel(3) / balladofthefjords(2) / blackcliffpole(2) / calamityqueller(2) / elegyfortheend(2) / favoniuslance(2) / favoniussword(2) / freedomsworn(2) / missivewindspear(2) / mistsplitterreforged(2) / aquasimulacra(1) / aquilafavonia(1) / athousandblazingsuns(1) / blacktassel(1) / engulfinglightning(1) / favoniuswarbow(1) / keyofkhajnisut(1) / lithicspear(1) / peakpatrolsong(1) / prototypeamber(1) / rust(1) / sacrificialbow(1) / serpentspine(1) / skywardblade(1) / skywardharp(1) / splendoroftranquilwaters(1) / thealleyflash(1) / urakumisugiri(1) / vortexvanquisher(1) / xiphosmoonlight(1),fragmentofharmonicwhimsy(6) / viridescentvenerer(4) / crimsonwitchofflames(3) / instructor(3) / scrolloftheheroofcindercity(3) / archaicpetra(2) / desertpavilionchronicle(2) / gladiatorsfinale(2) / goldentroupe(2) / noblesseoblige(2) / tenacityofthemillelith(2) / unfinishedreverie(2) / echoesofanoffering(1) / emblemofseveredfate(1) / gildeddreams(1) / marechausseehunter(1) / obsidiancodex(1) / retracingbolide(1) / songofdayspast(1)
ayaka,ganyu(7) / ayaka(6) / diona(6) / mona(6) / shenhe(6) / bennett(5) / venti(5) / xingqiu(5) / escoffier(4) / furina(4) / gaming(4) / kokomi(4) / rosaria(4) / amber(3) / charlotte(3) / citlali(3) / dehya(3) / kazuha(3) / layla(3) / skirk(3) / sucrose(3) / xilonen(3) / yelan(3) / ayato(2) / barbara(2) / chiori(2) / faruzan(2) / kaeya(2) / kaveh(2) / keqing(2) / lynette(2) / mavuika(2) / mualani(2) / nahida(2) / raiden(2) / sara(2) / albedo(1) / alhaitham(1) / aloy(1) / arlecchino(1) / baizhu(1) / beidou(1) / candace(1) / chasca(1) / chevreuse(1) / chongyun(1) / clorinde(1) / collei(1) / cyno(1) / dahlia(1) / diluc(1) / dori(1) / emilie(1) / eula(1) / fischl(1) / flins(1) / freminet(1) / gorou(1) / heizou(1) / hutao(1) / ineffa(1) / itto(1) / jean(1) / kinich(1) / kirara(1) / klee(1) / kukishinobu(1) / lanyan(1) / lauma(1) / lisa(1) / lyney(1) / mika(1) / navia(1) / neuvillette(1) / nilou(1) / ningguang(1) / noelle(1) / ororon(1) / qiqi(1) / razor(1) / sayu(1) / sethos(1) / sigewinne(1) / thoma(1) / tighnari(1) / varesa(1) / wanderer(1) / wriothesley(1) / xiangling(1) / xianyun(1) / xiao(1) / xinyan(1) / yaemiko(1) / yanfei(1) / yaoyao(1) / yoimiya(1) / yunjin(1) / zhongli(1),mistsplitterreforged(6) / amenomakageuchi(5) / calamityqueller(3) / favoniussword(3) / freedomsworn(3) / harangeppakufutsu(3) / lightoffoliarincision(3) / sacrificialbow(3) / absolution(2) / aquilafavonia(2) / azurelight(2) / elegyfortheend(2) / everlastingmoonglow(2) / favoniuscodex(2) / favoniusgreatsword(2) / favoniuslance(2) / favoniuswarbow(2) / finaleofthedeep(2) / hamayumi(2) / ironsting(2) / rust(2) / skywardatlas(2) / skywardspine(2) / theblackspoon(2) / thrillingtalesofdragonslayers(2) / urakumisugiri(2) / amosbow(1) / athousandfloatingdreams(1) / blacktassel(1) / primordialjadecutter(1) / prototypeamber(1) / splendoroftranquilwaters(1) / staffofthescarletsands(1) / summitshaper(1) / wavebreakersfin(1),blizzardstrayer(7) / noblesseoblige(5) / tenacityofthemillelith(4) / viridescentvenerer(4) / echoesofanoffering(3) / emblemofseveredfate(3) / gildeddreams(2) / maidenbeloved(2) / finaleofthedeepgalleries(1) / gladiatorsfinale(1) / goldentroupe(1) / marechausseehunter(1) / shimenawasreminiscence(1) / vermillionhereafter(1)
ayato,ayato(8) / furina(7) / ganyu(7) / kukishinobu(7) / nahida(7) / xingqiu(7) / diona(6) / fischl(6) / venti(6) / xiangling(6) / yelan(6) / yunjin(6) / zhongli(6) / baizhu(5) / beidou(5) / bennett(5) / jean(5) / layla(5) / nilou(5) / raiden(5) / thoma(5) / amber(4) / citlali(4) / escoffier(4) / hutao(4) / ineffa(4) / kaeya(4) / mona(4) / ororon(4) / sayu(4) / sucrose(4) / xilonen(4) / albedo(3) / candace(3) / charlotte(3) / chiori(3) / collei(3) / dahlia(3) / emilie(3) / gaming(3) / kazuha(3) / kirara(3) / kokomi(3) / lanyan(3) / lauma(3) / mavuika(3) / mika(3) / neuvillette(3) / rosaria(3) / sara(3) / shenhe(3) / xianyun(3) / yaoyao(3) / yoimiya(3) / alhaitham(2) / ayaka(2) / barbara(2) / chongyun(2) / dehya(2) / dori(2) / faruzan(2) / kaveh(2) / lisa(2) / lynette(2) / mualani(2) / noelle(2) / razor(2) / sigewinne(2) / skirk(2) / wanderer(2) / yaemiko(2) / aloy(1) / arlecchino(1) / chasca(1) / chevreuse(1) / clorinde(1) / cyno(1) / diluc(1) / eula(1) / flins(1) / freminet(1) / gorou(1) / heizou(1) / itto(1) / keqing(1) / kinich(1) / klee(1) / lyney(1) / navia(1) / ningguang(1) / qiqi(1) / sethos(1) / tartaglia(1) / tighnari(1) / varesa(1) / wriothesley(1) / xiao(1) / xinyan(1) / yanfei(1),harangeppakufutsu(6) / mistsplitterreforged(6) / theblackspoon(6) / skywardblade(5) / splendoroftranquilwaters(5) / amenomakageuchi(4) / favoniussword(4) / freedomsworn(4) / primordialjadecutter(4) / summitshaper(4) / thrillingtalesofdragonslayers(4) / absolution(3) / elegyfortheend(3) / favoniuslance(3) / favoniuswarbow(3) / finaleofthedeep(3) / fleuvecendreferryman(3) / harbingerofdawn(3) / ironsting(3) / kagotsurubeisshin(3) / lightoffoliarincision(3) / prototypeamber(3) / sacrificialbow(3) / urakumisugiri(3) / aquasimulacra(2) / athousandfloatingdreams(2) / azurelight(2) / blacktassel(2) / deathmatch(2) / everlastingmoonglow(2) / hamayumi(2) / kitaincrossspear(2) / rust(2) / sacrificialfragments(2) / serpentspine(2) / skywardharp(2) / skywardpride(2) / solarpearl(2) / staffofhoma(2) / theflute(2) / thestringless(2) / thunderingpulse(2) / aquilafavonia(1) / blackclifflongsword(1) / calamityofeshu(1) / dragonsbane(1) / favoniuscodex(1) / hakushinring(1) / hunterspath(1) / lionsroar(1) / sacrificialgreatsword(1) / sapwoodblade(1) / thecatch(1) / xiphosmoonlight(1),viridescentvenerer(6) / blizzardstrayer(5) / emblemofseveredfate(5) / deepwoodmemories(4) / gildeddreams(4) / heartofdepth(4) / noblesseoblige(4) / tenacityofthemillelith(4) / thunderingfury(4) / crimsonwitchofflames(3) / flowerofparadiselost(3) / marechausseehunter(3) / scrolloftheheroofcindercity(3) / archaicpetra(2) / echoesofanoffering(2) / goldentroupe(2) / huskofopulentdreams(2) / maidenbeloved(2) / nymphsdream(2) / unfinishedreverie(2) / desertpavilionchronicle(1) / gladiatorsfinale(1) / shimenawasreminiscence(1)
baizhu,baizhu(10) / alhaitham(9) / cyno(9) / fischl(9) / nahida(9) / xingqiu(9) / yelan(9) / amber(8) / raiden(8) / nilou(7) / beidou(6) / gaming(6) / kaveh(6) / yaemiko(6) / emilie(5) / furina(5) / keqing(5) / kukishinobu(5) / sara(4) / skirk(4) / thoma(4) / xiangling(4) / yaoyao(4) / ayato(3) / barbara(3) / candace(3) / collei(3) / dehya(3) / escoffier(3) / faruzan(3) / ineffa(3) / kinich(3) / lauma(3) / layla(3) / mavuika(3) / neuvillette(3) / noelle(3) / sucrose(3) / tighnari(3) / zhongli(3) / albedo(2) / aloy(2) / arlecchino(2) / ayaka(2) / bennett(2) / charlotte(2) / chasca(2) / chevreuse(2) / chiori(2) / chongyun(2) / citlali(2) / clorinde(2) / dahlia(2) / diluc(2) / diona(2) / dori(2) / eula(2) / flins(2) / freminet(2) / ganyu(2) / gorou(2) / heizou(2) / hutao(2) / itto(2) / jean(2) / kaeya(2) / kazuha(2) / kirara(2) / klee(2) / kokomi(2) / lanyan(2) / lisa(2) / lynette(2) / lyney(2) / mika(2) / mona(2) / mualani(2) / navia(2) / ningguang(2) / ororon(2) / qiqi(2) / razor(2) / rosaria(2) / sayu(2) / sethos(2) / shenhe(2) / sigewinne(2) / varesa(2) / venti(2) / wanderer(2) / wriothesley(2) / xianyun(2) / xiao(2) / xilonen(2) / xinyan(2) / yanfei(2) / yoimiya(2) / yunjin(2) / tartaglia(1),prototypeamber(7) / athousandfloatingdreams(4) / favoniuscodex(4) / jadefallssplendor(4) / sacrificialsword(3) / wanderingevenstar(3) / aquasimulacra(2) / deathmatch(2) / dragonsbane(2) / favoniusgreatsword(2) / favoniussword(2) / favoniuswarbow(2) / harbingerofdawn(2) / kagurasverity(2) / keyofkhajnisut(2) / lightoffoliarincision(2) / primordialjadecutter(2) / serpentspine(2) / skywardpride(2) / splendoroftranquilwaters(2) / staffofthescarletsands(2) / theblackspoon(2) / thestringless(2) / thewidsith(2) / engulfinglightning(1) / everlastingmoonglow(1) / freedomsworn(1) / hakushinring(1) / harangeppakufutsu(1) / rust(1) / skywardharp(1) / thedockhandsassistant(1) / thrillingtalesofdragonslayers(1) / thunderingpulse(1),deepwoodmemories(8) / oceanhuedclam(6) / emblemofseveredfate(4) / gildeddreams(4) / noblesseoblige(3) / tenacityofthemillelith(3) / thunderingfury(3) / flowerofparadiselost(2) / goldentroupe(2) / crimsonwitchofflames(1) / instructor(1) / maidenbeloved(1) / songofdayspast(1) / viridescentvenerer(1) / vourukashasglow(1)
barbara,barbara(10) / amber(7) / beidou(6) / sucrose(6) / yelan(6) / hutao(5) / klee(5) / razor(5) / venti(5) / xiangling(5) / alhaitham(4) / gaming(4) / ganyu(4) / thoma(4) / xingqiu(4) / ayaka(3) / bennett(3) / nilou(3) / raiden(3) / wanderer(3) / xiao(3) / zhongli(3) / albedo(2) / aloy(2) / arlecchino(2) / ayato(2) / baizhu(2) / candace(2) / charlotte(2) / chasca(2) / chevreuse(2) / chiori(2) / chongyun(2) / citlali(2) / clorinde(2) / collei(2) / cyno(2) / dahlia(2) / dehya(2) / diluc(2) / diona(2) / dori(2) / emilie(2) / escoffier(2) / eula(2) / faruzan(2) / fischl(2) / flins(2) / freminet(2) / furina(2) / gorou(2) / heizou(2) / ineffa(2) / itto(2) / jean(2) / kaeya(2) / kaveh(2) / kazuha(2) / keqing(2) / kinich(2) / kirara(2) / kokomi(2) / kukishinobu(2) / lanyan(2) / lauma(2) / layla(2) / lisa(2) / lynette(2) / lyney(2) / mavuika(2) / mika(2) / mona(2) / mualani(2) / nahida(2) / navia(2) / neuvillette(2) / ningguang(2) / noelle(2) / ororon(2) / qiqi(2) / rosaria(2) / sara(2) / sayu(2) / sethos(2) / shenhe(2) / sigewinne(2) / skirk(2) / tartaglia(2) / tighnari(2) / varesa(2) / wriothesley(2) / xianyun(2) / xilonen(2) / xinyan(2) / yaemiko(2) / yanfei(2) / yaoyao(2) / yoimiya(2) / yunjin(2) / mizuki(1),everlastingmoonglow(5) / prototypeamber(5) / thrillingtalesofdragonslayers(5) / elegyfortheend(3) / sacrificialfragments(3) / amenomakageuchi(2) / aquasimulacra(2) / deathmatch(2) / engulfinglightning(2) / favoniuscodex(2) / favoniuswarbow(2) / harbingerofdawn(2) / kitaincrossspear(2) / lightoffoliarincision(2) / mistsplitterreforged(2) / prototypearchaic(2) / prototypecrescent(2) / rust(2) / serpentspine(2) / skywardatlas(2) / skywardpride(2) / staffofhoma(2) / thecatch(2) / thewidsith(2) / amosbow(1) / aquilafavonia(1) / astralvulturescrimsonplumage(1) / athousandfloatingdreams(1) / freedomsworn(1) / harangeppakufutsu(1) / jadefallssplendor(1) / keyofkhajnisut(1) / lostprayertothesacredwinds(1) / magicguide(1) / splendoroftranquilwaters(1) / staffofthescarletsands(1) / wanderingevenstar(1) / wineandsong(1) / wolfsgravestone(1),oceanhuedclam(7) / viridescentvenerer(4) / deepwoodmemories(3) / noblesseoblige(3) / tenacityofthemillelith(3) / blizzardstrayer(2) / crimsonwitchofflames(2) / emblemofseveredfate(2) / flowerofparadiselost(2) / gildeddreams(2) / instructor(2) / maidenbeloved(2) / echoesofanoffering(1) / goldentroupe(1) / obsidiancodex(1) / scrolloftheheroofcindercity(1) / vermillionhereafter(1) / vourukashasglow(1) / wandererstroupe(1)
beidou,beidou(10) / fischl(7) / xingqiu(7) / bennett(6) / jean(6) / sucrose(6) / yoimiya(6) / cyno(4) / keqing(4) / kukishinobu(4) / nahida(4) / raiden(4) / sara(4) / zhongli(4) / alhaitham(3) / baizhu(3) / barbara(3) / chevreuse(3) / chongyun(3) / clorinde(3) / collei(3) / diona(3) / dori(3) / eula(3) / gaming(3) / ineffa(3) / mona(3) / sayu(3) / venti(3) / yaemiko(3) / yelan(3) / amber(2) / arlecchino(2) / candace(2) / flins(2) / furina(2) / hutao(2) / kaeya(2) / kazuha(2) / kirara(2) / klee(2) / lanyan(2) / layla(2) / lisa(2) / lynette(2) / mavuika(2) / neuvillette(2) / ororon(2) / razor(2) / sethos(2) / tighnari(2) / wanderer(2) / xiangling(2) / xianyun(2) / xilonen(2) / yanfei(2) / yaoyao(2) / albedo(1) / aloy(1) / ayaka(1) / ayato(1) / charlotte(1) / chasca(1) / chiori(1) / citlali(1) / dahlia(1) / dehya(1) / diluc(1) / emilie(1) / escoffier(1) / faruzan(1) / freminet(1) / ganyu(1) / gorou(1) / heizou(1) / itto(1) / kaveh(1) / kinich(1) / kokomi(1) / lauma(1) / lyney(1) / mika(1) / mualani(1) / navia(1) / nilou(1) / ningguang(1) / noelle(1) / qiqi(1) / rosaria(1) / shenhe(1) / sigewinne(1) / skirk(1) / tartaglia(1) / thoma(1) / varesa(1) / wriothesley(1) / xiao(1) / xinyan(1) / yunjin(1),serpentspine(7) / redhornstonethresher(5) / akuoumaru(4) / beaconofthereedsea(4) / skywardpride(4) / wolfsgravestone(4) / rust(3) / sacrificialsword(3) / athousandblazingsuns(2) / blacktassel(2) / engulfinglightning(2) / favoniussword(2) / luxurioussealord(2) / rainslasher(2) / skywardatlas(2) / skywardblade(2) / skywardharp(2) / songofbrokenpines(2) / staffofhoma(2) / thecatch(2) / thestringless(2) / theunforged(2) / thewidsith(2) / thunderingpulse(2) / verdict(2) / absolution(1) / athousandfloatingdreams(1) / dragonsbane(1) / fangofthemountainking(1) / favoniusgreatsword(1) / hakushinring(1) / harangeppakufutsu(1) / katsuragikirinagamasa(1) / lithicblade(1) / mailedflower(1) / peakpatrolsong(1) / prototypeamber(1) / prototypearchaic(1) / sacrificialgreatsword(1) / thrillingtalesofdragonslayers(1),emblemofseveredfate(7) / noblesseoblige(6) / thunderingfury(6) / viridescentvenerer(3) / blizzardstrayer(2) / paleflame(2) / tenacityofthemillelith(2) / thundersoother(2) / deepwoodmemories(1) / gildeddreams(1) / gladiatorsfinale(1) / heartofdepth(1) / oceanhuedclam(1) / scrolloftheheroofcindercity(1) / shimenawasreminiscence(1)
